"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"2174","noroBE",4,2,"naive",249,3.89549037677035,7.72304941399388,2,5,0,11,5,2.22930106260402,2.36954714570037
"2175","noroBE",4,3,"naive",249,4.70142501901388,10.2765762779694,2,6,0,12,1,2.33448037990737,2.51004511553139
"2176","noroBE",4,4,"naive",249,4.72093008247766,10.3424371821242,2,6,0,12,5,2.16357741456297,2.5269661020279
"2177","noroBE",5,1,"naive",249,3.81957775423079,7.49941267972162,2,5,0,10,5,2.24069878507243,2.16316584357899
"2178","noroBE",5,2,"naive",249,4.53723280121264,9.72977162782153,2,6,0,12,2,1.99384003174894,2.36954714570037
"2179","noroBE",5,3,"naive",249,5.4759369798256,13.0392923963742,3,7,0,14,5,2.16902872226811,2.51004511553139
"2180","noroBE",5,4,"naive",249,5.4986553041386,13.1248979290325,3,7,0,14,10,3.27019280076222,2.5269661020279
"2181","noroBE",6,1,"naive",249,3.6962603446999,7.14231953265244,2,5,0,10,6,2.58891482961226,2.16316584357899
"2182","noroBE",6,2,"naive",249,4.39074545850457,9.25340818510748,2,6,0,12,9,3.39767292225548,2.36954714570037
"2183","noroBE",6,3,"naive",249,5.29914299720317,12.382007025804,3,7,0,14,9,3.04328998161115,2.51004511553139
"2184","noroBE",6,4,"naive",249,5.3211278464874,12.4628839304415,3,7,0,14,6,2.31946524851308,2.5269661020279
"2185","noroBE",7,1,"naive",249,7.13023782948815,19.9537107329864,4,10,1,18,3,2.43245743218144,2.16316584357899
"2186","noroBE",7,2,"naive",249,8.46992810254127,26.5648650471653,5,11,1,21,6,2.44009408760495,2.36954714570037
"2187","noroBE",7,3,"naive",249,10.2222642181318,36.5790126069745,6,14,2,25,8,2.61268122623837,2.51004511553139
"2188","noroBE",7,4,"naive",249,10.2646738942432,36.8405713559443,6,14,2,25,7,2.60391085233931,2.5269661020279
"2189","noroBE",8,1,"naive",249,4.63235151264508,10.044885553286,2,6,0,12,4,2.01361545396081,2.16316584357899
"2190","noroBE",8,2,"naive",249,5.50271746834827,13.1402321192593,3,7,0,14,3,2.10493893151122,2.36954714570037
